SrNo, name, price, specifications, imagesLink, linkToPage
11,Mymax M7250  (Black & Gold),₹524,32 MB RAM | 32 MB ROM | | 4.57 cm (1.8 inch) Display | 1.3MP Rear Camera | 1000 mAh Battery | ,https://rukminim1.flixcart.com/image/832/832/jh80ia80/mobile/x/y/h/mymax-m7250-m7250-original-imaf5a9j2p6sngf9.jpeg?q=70,https://www.flipkart.com/mymax-m7250/p/itmf5a9g4uctykpb?pid=MOBF58NNQVF4QXYH&srno=s_50_1188&otracker=search&lid=LSTMOBF58NNQVF4QXYHUFJNQD&fm=organic&iid=2df93faa-e3bf-4b8d-a3b3-2b516a36cbf7.MOBF58NNQVF4QXYH.SEARCH&qH=532c28d5412dd75b
12,Haier CG550  (BLACK+BLUE),₹2_475,8 MB RAM | 16 MB ROM | | 6.1 cm (2.4 inch) QVGA Display | 0.3MP Rear Camera | 1500 mAh Battery | ,https://rukminim1.flixcart.com/image/832/832/mobile/t/a/d/haier-haier-cg-550-haier-cg-550-original-imaecjzdu6yfhnzu.jpeg?q=70,https://www.flipkart.com/haier-cg550/p/itmeck2fjhfugbhg?pid=MOBECK2FQ8SKNTAD&srno=s_50_1189&otracker=search&lid=LSTMOBECK2FQ8SKNTADAYVYDB&fm=organic&iid=5ed0a048-2f1a-43ff-be01-a87c205d1f69.MOBECK2FQ8SKNTAD.SEARCH&qH=532c28d5412dd75b
13,Mymax M7250  (Black & Orange),₹524,32 MB RAM | 32 MB ROM | | 4.57 cm (1.8 inch) Display | 1.3MP Rear Camera | 1000 mAh Battery | ,https://rukminim1.flixcart.com/image/832/832/jh80ia80/mobile/d/y/x/mymax-m7250-m7250-original-imaf5a9jsueqxzg6.jpeg?q=70,https://www.flipkart.com/mymax-m7250/p/itmf5a9g4uctykpb?pid=MOBF58NNX5ZJ9DYX&srno=s_50_1190&otracker=search&lid=LSTMOBF58NNX5ZJ9DYXEEGCS4&fm=organic&iid=a8c705cf-b300-4fa2-af76-62d09b5b0736.MOBF58NNX5ZJ9DYX.SEARCH&qH=532c28d5412dd75b
14,Mymax M7250  (Black & Red),₹524,32 MB RAM | 32 MB ROM | | 4.57 cm (1.8 inch) Display | 1.3MP Rear Camera | 1000 mAh Battery | ,https://rukminim1.flixcart.com/image/832/832/jh80ia80/mobile/j/9/m/mymax-m7250-m7250-original-imaf5a9mgwfm4gkx.jpeg?q=70,https://www.flipkart.com/mymax-m7250/p/itmf5a9g4uctykpb?pid=MOBF58NNPMUNKJ9M&srno=s_50_1191&otracker=search&lid=LSTMOBF58NNPMUNKJ9MF7SBTS&fm=organic&iid=4b072ea5-e737-4978-8593-4d009d0d8444.MOBF58NNPMUNKJ9M.SEARCH&qH=532c28d5412dd75b
15,Lava Z90 (Blue_ 32 GB)  (3 GB RAM),₹8_999,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB | 13.21 cm (5.2 inch) HD Display | 8MP + 2MP Dual Rear Camera | 8MP Front Camera | 2750 mAh Battery | ,https://rukminim1.flixcart.com/image/832/832/j9rdq4w0/mobile/h/g/p/lava-z90-4g-volte-with-finger-print-sensor-z90-4g-volte-with-original-imaezfjyzfyb8hhv.jpeg?q=70,https://www.flipkart.com/lava-z90-blue-32-gb/p/itmezwfk27ytn9gg?pid=MOBEZHHQGZBHPHGP&srno=s_50_1192&otracker=search&lid=LSTMOBEZHHQGZBHPHGPQ4W8ZR&fm=organic&iid=640eba86-6a4f-4755-8aa7-8dd75ebceed7.MOBEZHHQGZBHPHGP.SEARCH&qH=532c28d5412dd75b
16,Alcatel U5 HD (Metallic Black_ 16 GB)  (2 GB RAM),₹5_999,2 GB RAM | 16 GB ROM | Expandable Upto 32 GB | 12.7 cm (5.0 inch) HD Display | 13MP Rear Camera | 8MP Front Camera | 2200 mAh Battery | MTK6737 Processor | ,https://rukminim1.flixcart.com/image/832/832/j8kiikw0-1/mobile/u/3/d/alcatel-u5-hd-5047i-2cfkin1-original-imaeyk6vvkghgrws.jpeg?q=70,https://www.flipkart.com/alcatel-u5-hd-metallic-black-16-gb/p/itmeyeqgs3bsgphn?pid=MOBEX2RWRXFTDU3D&srno=s_50_1193&otracker=search&lid=LSTMOBEX2RWRXFTDU3DFQMRPR&fm=organic&iid=2b70b08d-41fc-4fe4-ae04-51736639ce8b.MOBEX2RWRXFTDU3D.SEARCH&qH=532c28d5412dd75b
17,Panasonic Eluga I2 3GB (Gold_ 16 GB)  (3 GB RAM),₹8_499,3 GB RAM | 16 GB ROM | | 12.7 cm (5 inch) Display | 8MP Rear Camera | 2000 mAh Battery | ,https://rukminim1.flixcart.com/image/832/832/j63x7rk0/mobile/f/j/j/panasonic-eluga-i2-3gb-eluga-i2-3gb-original-imaem9f8yqugbzpb.jpeg?q=70,https://www.flipkart.com/panasonic-eluga-i2-3gb-gold-16-gb/p/itmewn5mshfhxsyh?pid=MOBEWN5MFGVUCFJJ&srno=s_50_1194&otracker=search&lid=LSTMOBEWN5MFGVUCFJJTJPD7M&fm=organic&iid=2e319101-4fea-44dd-839e-6359761d39bd.MOBEWN5MFGVUCFJJ.SEARCH&qH=532c28d5412dd75b
18,LG Optimus L70 (Black_ 4 GB)  (1 GB RAM),₹12_791,1 GB RAM | 4 GB ROM | Expandable Upto 32 GB | 11.43 cm (4.5 inch) WVGA Display | 5MP Rear Camera | 0.3MP Front Camera | 2100 mAh Li-Ion Battery | Snapdragon Processor | ,https://rukminim1.flixcart.com/image/832/832/mobile/q/z/z/lg-l70-original-imadv2xzthx3yfh7.jpeg?q=70,https://www.flipkart.com/lg-optimus-l70-black-4-gb/p/itme6jeyz2qtffu8?pid=MOBDV25HDHGZTQZZ&srno=s_50_1195&otracker=search&lid=LSTMOBDV25HDHGZTQZZIFYPXF&fm=organic&iid=fda56aff-095f-40fc-9e4a-47977d8cec39.MOBDV25HDHGZTQZZ.SEARCH&qH=532c28d5412dd75b
19,Kechaoda K28 Plus  (Champagne Gold),₹1_249,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB | 7.11 cm (2.8 inch) QVGA Display | 0.3MP Rear Camera | 1700 mAh Battery | ,https://rukminim1.flixcart.com/image/832/832/jkbguq80/mobile/4/c/h/kechaoda-k28-plus-k28-plus-original-imaf7p8j8npnwjxy.jpeg?q=70,https://www.flipkart.com/kechaoda-k28-plus/p/itmf7p8jdygp4wdz?pid=MOBF7ZZPHHAJF4CH&srno=s_50_1196&otracker=search&lid=LSTMOBF7ZZPHHAJF4CHRUMSIR&fm=organic&iid=0418d14a-f9fb-43ec-84a1-fd4efed941a9.MOBF7ZZPHHAJF4CH.SEARCH&qH=532c28d5412dd75b
20,Kechaoda K28 Plus  (Blue),₹1_249,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB | 7.11 cm (2.8 inch) QVGA Display | 0.3MP Rear Camera | 1700 mAh Battery | ,https://rukminim1.flixcart.com/image/832/832/jkbguq80/mobile/f/p/v/kechaoda-k28-plus-k28-plus-original-imaf7p8jqffgxhbz.jpeg?q=70,https://www.flipkart.com/kechaoda-k28-plus/p/itmf7p8jdygp4wdz?pid=MOBF7ZZP6VBANFPV&srno=s_50_1197&otracker=search&lid=LSTMOBF7ZZP6VBANFPV0LUWM8&fm=organic&iid=6b7f9d64-bddc-4fcd-b2bd-ec195b171e50.MOBF7ZZP6VBANFPV.SEARCH&qH=532c28d5412dd75b
