16,Lava Z90 (Blue_ 32 GB)  (3 GB RAM),8_949,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB | 5.2 inch HD Display | 8MP + 2MP Dual Rear Camera | 8MP Front Camera | 2750 mAh Battery | ,https://rukminim1.flixcart.com/image/832/832/j9rdq4w0/mobile/h/g/p/lava-z90-4g-volte-with-finger-print-sensor-z90-4g-volte-with-original-imaezfjyzfyb8hhv.jpeg?q=70
17,Alcatel U5 HD (Metallic Black_ 16 GB)  (2 GB RAM),5_999,2 GB RAM | 16 GB ROM | Expandable Upto 32 GB | 5.0 inch HD Display | 13MP Rear Camera | 8MP Front Camera | 2200 mAh Battery | MTK6737 Processor | ,https://rukminim1.flixcart.com/image/832/832/j8kiikw0-1/mobile/u/3/d/alcatel-u5-hd-5047i-2cfkin1-original-imaeyk6vvkghgrws.jpeg?q=70
18,Panasonic Eluga I2 3GB (Gold_ 16 GB)  (3 GB RAM),8_499,3 GB RAM | 16 GB ROM | | 5 inch Display | 8MP Rear Camera | 2000 mAh Battery | ,https://rukminim1.flixcart.com/image/832/832/j63x7rk0/mobile/f/j/j/panasonic-eluga-i2-3gb-eluga-i2-3gb-original-imaem9f8yqugbzpb.jpeg?q=70
19,LG Optimus L70 (Black_ 4 GB)  (1 GB RAM),12_791,1 GB RAM | 4 GB ROM | Expandable Upto 32 GB | 4.5 inch WVGA Display | 5MP Rear Camera | 0.3MP Front Camera | 2100 mAh Li-Ion Battery | Snapdragon Processor | ,https://rukminim1.flixcart.com/image/832/832/mobile/q/z/z/lg-l70-original-imadv2xzthx3yfh7.jpeg?q=70
20,Kechaoda K28 Plus  (Champagne Gold),1_269,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB | 2.8 inch QVGA Display | 0.3MP Rear Camera | 1700 mAh Battery | ,https://rukminim1.flixcart.com/image/832/832/jkbguq80/mobile/4/c/h/kechaoda-k28-plus-k28-plus-original-imaf7p8j8npnwjxy.jpeg?q=70
21,Kechaoda K28 Plus  (Blue),1_269,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB | 2.8 inch QVGA Display | 0.3MP Rear Camera | 1700 mAh Battery | ,https://rukminim1.flixcart.com/image/832/832/jkbguq80/mobile/f/p/v/kechaoda-k28-plus-k28-plus-original-imaf7p8jqffgxhbz.jpeg?q=70
22,Micromax Vdeo 5 (Grey_ 8 GB)  (1 GB RAM),6_749,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB | 5.5 inch HD Display | 8MP Rear Camera | 5MP Front Camera | 3000 mAh Li-Ion Battery | Spreadtrum SC9832 A7 Processor | ,https://rukminim1.flixcart.com/image/832/832/j79czgw0/mobile/z/h/j/micromax-vdeo-5-q4220-original-imaexjnxzv8evqde.jpeg?q=70
23,Celkon C327  (Black),845,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB | 1.8 inch Display | 1.3MP Rear Camera | 1000 mAh Battery | ,https://rukminim1.flixcart.com/image/832/832/j3j1le80/mobile/s/x/w/celkon-c327-c327-original-imaeujn7bugpgfkf.jpeg?q=70
24,Google Pixel XL (Very Silver_ 32 GB)  (4 GB RAM),67_000,4 GB RAM | 32 GB ROM | | 5.5 inch Quad HD Display | 12.3MP Rear Camera | 8MP Front Camera | 3450 mAh Battery | Qualcomm Snapdragon 821 64-bit Quad Core 2.15GHz Processor | ,https://rukminim1.flixcart.com/image/832/832/mobile/n/t/j/google-pixel-xl-m7-original-imaemzzgsfuvy7ek.jpeg?q=70
25,Celkon C410  (Black & White),None,1 MB RAM | 1 MB ROM | | 2.4 inch Display | 1.3MP Rear Camera | 1000 mAh Battery | ,https://rukminim1.flixcart.com/image/832/832/jg2kqkw0/mobile/m/u/f/celkon-c410-c410-original-imaf4cz8aerfr5zb.jpeg?q=70
