38,10.Or E (Aim Gold_ 3 GB),   6_699.00,https://www.amazon.in/10-Aim-Gold-3-GB/dp/B071HWTHBB
39,Samsung Guru Music 2 (SM-B310E_ Blue),   1_625.00,https://www.amazon.in/Samsung-Guru-Music-SM-B310E-Blue/dp/B00OFRKT1Y
40,Honor Play (Midnight Black_ 6GB + 64GB),   23_999.00,https://www.amazon.in/Honor-Play-Midnight-Black-64GB/dp/B077PWB22T
41,Samsung Guru Music 2 (Gold),   1_625.00,https://www.amazon.in/Samsung-Guru-Music-2-Gold/dp/B07D4T3SC7
42,Vivo Y83 (Black) with Offers,   13_990.00,https://www.amazon.in/Vivo-Y83-Black-with-Offers/dp/B07DCJN5RJ
43,Moto G5s Plus (Blush Gold_ 64GB),   11_995.00,https://www.amazon.in/Moto-Plus-Blush-Gold-64GB/dp/B0714DP3B9
44,Lenovo K8 Note (Venom Black_ 3GB) with New System Update,   8_951.00,https://www.amazon.in/Lenovo-Venom-Black-System-Update/dp/B01M0JSAFU
45,JioPhone (Black)-Security Deposit,Currently Unavailable,https://www.amazon.in/JioFi-JioPhone-Black-Security-Deposit/dp/B072BXZWFX
46,Nokia 105 (Blue),   1_030.00,https://www.amazon.in/Nokia-105-Blue/dp/B0746HF973
47,Samsung On7 Pro (Black),   7_490.00,https://www.amazon.in/Samsung-G-600FY-On7-Pro-Black/dp/B01DDP83FM
48,Moto G6 (Indigo Black_ 64GB),   15_999.00,https://www.amazon.in/Moto-G6-Indigo-Black-64GB/dp/B077Q42J3F
49,Honor 7X (Black_ 4GB RAM + 32GB Memory),   11_999.00,https://www.amazon.in/Honor-Black-4GB-32GB-Memory/dp/B077PT5Q4B
50,Moto C Plus (Starry Black_ 16 GB) (2 GB RAM),   6_905.00,https://www.amazon.in/Moto-Plus-Starry-Black-RAM/dp/B077QHMGM6
51,Nokia 6.1 (2018) (4GB + 64GB_ Blue-Gold),   15_990.00,https://www.amazon.in/Nokia-6-1-4GB-64GB-Blue-Gold/dp/B077PWJP92
52,OnePlus 6 A6000 (Midnight Black_ 256GB),   43_999.00,https://www.amazon.in/OnePlus-Midnight-Black-256GB-Memory/dp/B077PWBC6V
53,Nokia 216 (Black),   2_449.00,https://www.amazon.in/Nokia-216-Black/dp/B01M69DXTB
54,Samsung Guru Music 2 (SM-B310E_ Black),   1_625.00,https://www.amazon.in/Samsung-Guru-Music-SM-B310E-Black/dp/B00KWDKL4K
55,Nokia 105 (Dual SIM_ Blue),   1_160.00,https://www.amazon.in/Nokia-105-Dual-SIM-Blue/dp/B0745G3NB6
56,OnePlus 6 (Silk White_ 8GB RAM + 128GB Memory),   39_999.00,https://www.amazon.in/OnePlus-Silk-White-128GB-Memory/dp/B078BNQ2ZS
57,Honor Play (Navy Blue_ 6GB + 64GB),   23_999.00,https://www.amazon.in/Honor-Play-Navy-Blue-64GB/dp/B078BNWWFZ
58,Samsung Galaxy J8 (Black_ 64GB) with Offers,   17_990.00,https://www.amazon.in/Samsung-Galaxy-J8-Black-Offers/dp/B07FH4PDHJ
59,Nokia 150 (Dual SIM_ Black),   2_057.00,https://www.amazon.in/Nokia-150-Dual-SIM-Black/dp/B06XQYCG4B
60,InFocus Turbo 5 (Glittering Gold_ 16GB_ 5000mAH Battery),   5_999.00,https://www.amazon.in/InFocus-Turbo-Glittering-5000mAH-Battery/dp/B073334SY1
61,Nokia 1 (1GB RAM_ Dark Blue),   4_488.00,https://www.amazon.in/Nokia-1GB-RAM-Dark-Blue/dp/B07BSCSBMP
62,Samsung Guru Music 2 SM-B310E (White),   1_625.00,https://www.amazon.in/Samsung-Guru-Music-SM-B310E-White/dp/B00L5JVGFI
63,Nokia 3310 (Dark Blue),   3_289.00,https://www.amazon.in/Nokia-MT000735-3310-Dark-Blue/dp/B071HTGC1R
64,Samsung Guru 1200 (GT-E1200_ Indigo Blue),   1_100.00,https://www.amazon.in/Samsung-Guru-1200-GT-E1200-Indigo/dp/B008OPT50Y
